,SaleID,Volume,Species,Price
36,Sale #KL-341-2021-GF7720-01,1323,Ponderosa pine,$132.08
37,Sale #KL-341-2021-W00664-01,2579,Ponderosa pine,$141.67
38,Sale #KL-341-2021-W00675-01,586,Ponderosa pine,$137.17
39,Sale #KL-341-2021-GF8417-01,manual,manual,manual
40,Sale #KL-341-2021-GF7620-01,405,Ponderosa pine,$130.75
41,Sale #KL-341-2021-GF9919-01,135,Douglas-fir,$143.12
42,Sale #KL-341-2021-W00281-01,3608,Ponderosa Pine,$140.09
43,Sale #KL-341-2021-GF8319-01,137,Western larch Douglas-fir,$91.34
44,Sale #20-971,683,Douglas-fir,$83.71
45,Sale #KL-341-2020-W00774-01,,,$0.00 (total price)
46,Sale #20-831,4646,White fir,$178.88
47,Sale #20-827,2914,Ponderosa pine,$55.62
48,Sale #20-501,720,Douglas-fir,$181.23
49,Sale #20-811,1909,Douglas-fir,$243.67
50,Sale #20-871,,,$0.00 (total price)
51,Sale #20-324,1531,Pulp,$10.00
52,Sale #20-321,678,Pulp,$10.00
53,Sale #20-323,715,PULP,$10.00
54,Sale #20-821,1757,Ponderosa pine,$62.77
55,Sale #20-769,1973,White Fir,$210.89
56,Sale #19-801,908,White Fir,$184.08
57,Sale #19-513,1180,White Fir,$190.21
58,Sale #19-770,410,Pulp,$10.00
59,Sale #19-772,488,Pulp,$10.00
60,Sale #19-773,558,Pulp,$10.00
61,Sale #19-511,3860,PP,$142.06
62,Sale #19-21,1622,White fir,$336.44
63,Sale #18-138,2214,Ponderosa pine,$128.96
64,Sale #18-99,,,$0.00 (total price)
65,Sale #18-98,,,$0.00 (total price)
66,Sale #18-97,365,pulp,$10.00
67,Sale #18-96,593,Pulp,$10.00
68,Sale #SW-341-2021-GF7818-07,2435,Hemlock Fir,$86.51
69,Sale #SW-341-2021-GF7120-07,,,$0.00 (total price)
70,Sale #20-918,1185,Douglas-fir,$264.11
71,Sale #20-771,985,Douglas-fir,$334.98
72,Sale #20-771,,Thinning Sale not CC,$0.00 (total price)
73,Sale #19-403,943,Douglas-fir,$297.75
74,Sale #18-92,1308,Douglas-fir,$476.11
75,Sale #18-93,245,Douglas-fir,$387.69
76,Sale #18-93,200,Grand Fir,$219.02
77,Sale #KL-343-2022-W00938-01,695,Ponderosa pine,$48.10
78,Sale #KL-341-2021-GF9818-01,613,Lump Sum,"$37,683.08 (total price)"
79,Sale #KL-341-2021-GF7720-01,1323,Ponderosa pine,$132.08
80,Sale #KL-341-2021-W00664-01,2579,Ponderosa pine,$141.67
81,Sale #KL-341-2021-W00675-01,586,Ponderosa pine,$137.17
82,Sale #KL-341-2021-GF8417-01,manual,manual,manual
83,Sale #KL-341-2021-GF7620-01,405,Ponderosa pine,$130.75
84,Sale #KL-341-2021-GF9919-01,135,Douglas-fir,$143.12
85,Sale #KL-341-2021-W00281-01,3608,Ponderosa Pine,$140.09
86,Sale #KL-341-2021-GF8319-01,137,Western larch Douglas-fir,$91.34
87,Sale #20-971,683,Douglas-fir,$83.71
88,Sale #KL-341-2020-W00774-01,,,$0.00 (total price)
89,Sale #20-831,4646,White fir,$178.88
90,Sale #20-827,2914,Ponderosa pine,$55.62
91,Sale #20-501,720,Douglas-fir,$181.23
92,Sale #20-811,1909,Douglas-fir,$243.67
93,Sale #20-871,,,$0.00 (total price)
94,Sale #20-324,1531,Pulp,$10.00
95,Sale #20-321,678,Pulp,$10.00
96,Sale #20-323,715,PULP,$10.00
97,Sale #20-821,1757,Ponderosa pine,$62.77
98,Sale #20-769,1973,White Fir,$210.89
99,Sale #19-801,908,White Fir,$184.08
100,Sale #19-513,1180,White Fir,$190.21
101,Sale #19-770,410,Pulp,$10.00
102,Sale #19-772,488,Pulp,$10.00
103,Sale #19-773,558,Pulp,$10.00
104,Sale #19-511,3860,PP,$142.06
105,Sale #19-21,1622,White fir,$336.44
106,Sale #18-138,2214,Ponderosa pine,$128.96
107,Sale #18-99,,,$0.00 (total price)
108,Sale #18-98,,,$0.00 (total price)
109,Sale #18-97,365,pulp,$10.00
110,Sale #18-96,593,Pulp,$10.00
111,Sale #SW-341-2021-GF7818-07,2435,Hemlock Fir,$86.51
112,Sale #SW-341-2021-GF7120-07,,,$0.00 (total price)
113,Sale #20-918,1185,Douglas-fir,$264.11
114,Sale #20-771,985,Douglas-fir,$334.98
115,Sale #20-771,,Thinning Sale not CC,$0.00 (total price)
116,Sale #19-403,943,Douglas-fir,$297.75
117,Sale #18-92,1308,Douglas-fir,$476.11
118,Sale #18-93,245,Douglas-fir,$387.69
119,Sale #18-93,200,Grand Fir,$219.02
120,Sale #WL-343-2022-W00921-01,240,Douglas-fir,$535.72
121,Sale #WL-341-2021-W00676-01,2290,Douglas-fir,$310.06
122,Sale #SW-341-2021-GF9419-01,528,Douglas FIr,$310.74
123,Sale #WL-341-2021-W00581-01,2154,Douglas-Fir,$408.33
124,Sale #WL-341-2021-W00621-01,1801,Douglas-fir,$378.71
125,Sale #WL-341-2021-W00782-02,6076,Douglas-fir,$431.92
126,Sale #20-576,870,Douglas-Fir,$356.25
127,Sale #20-901,574,Douglas-fir,$297.45
128,Sale #20-336,2104,Doug-fir,$411.19
129,Sale #20-891,4143,Douglas-fir,$286.04
130,Sale #20-339,447,Douglas-fir,$323.60
131,Sale #20-791,manual,manual,manual
132,Sale #20-337,12913,Douglas-fir,$40.60
133,Sale #20-783,3976,Douglas-fir,$347.66
134,Sale #20-525,2023,Douglas-fir,$140.40
135,Sale #20-577,4437,Douglas-fir,$368.01
136,Sale #19-789,1950,Douglas-fir,$195.55
137,Sale #19-771,645,Douglas-fir,$388.66
138,Sale #19-768,1435,Douglas-fir,$344.11
139,Sale #19-580,4308,Douglas-fir,$411.62
140,Sale #19-579,3724,Douglas-fir,$403.42
141,Sale #19-781,4758,Douglas-fir,$428.37
142,Sale #18-133,755,Douglas-fir,$455.02
143,Sale #18-108,4263,Douglas-fir,$525.57
144,Sale #KL-343-2022-W00938-01,695,Ponderosa pine,$48.10
145,Sale #KL-341-2021-GF9818-01,613,Lump Sum,"$37,683.08 (total price)"
146,Sale #KL-341-2021-GF7720-01,1323,Ponderosa pine,$132.08
147,Sale #KL-341-2021-W00664-01,2579,Ponderosa pine,$141.67
148,Sale #KL-341-2021-W00675-01,586,Ponderosa pine,$137.17
149,Sale #KL-341-2021-GF8417-01,manual,manual,manual
150,Sale #KL-341-2021-GF7620-01,405,Ponderosa pine,$130.75
151,Sale #KL-341-2021-GF9919-01,135,Douglas-fir,$143.12
152,Sale #KL-341-2021-W00281-01,3608,Ponderosa Pine,$140.09
153,Sale #KL-341-2021-GF8319-01,137,Western larch Douglas-fir,$91.34
154,Sale #20-971,683,Douglas-fir,$83.71
155,Sale #KL-341-2020-W00774-01,,,$0.00 (total price)
156,Sale #20-831,4646,White fir,$178.88
157,Sale #20-827,2914,Ponderosa pine,$55.62
158,Sale #20-501,720,Douglas-fir,$181.23
159,Sale #20-811,1909,Douglas-fir,$243.67
160,Sale #20-871,,,$0.00 (total price)
161,Sale #20-324,1531,Pulp,$10.00
162,Sale #20-321,678,Pulp,$10.00
163,Sale #20-323,715,PULP,$10.00
164,Sale #20-821,1757,Ponderosa pine,$62.77
165,Sale #20-769,1973,White Fir,$210.89
166,Sale #19-801,908,White Fir,$184.08
167,Sale #19-513,1180,White Fir,$190.21
168,Sale #19-770,410,Pulp,$10.00
169,Sale #19-772,488,Pulp,$10.00
170,Sale #19-773,558,Pulp,$10.00
171,Sale #19-511,3860,PP,$142.06
172,Sale #19-21,1622,White fir,$336.44
173,Sale #18-138,2214,Ponderosa pine,$128.96
174,Sale #18-99,,,$0.00 (total price)
175,Sale #18-98,,,$0.00 (total price)
176,Sale #18-97,365,pulp,$10.00
177,Sale #18-96,593,Pulp,$10.00
178,Sale #SW-341-2021-GF7818-07,2435,Hemlock Fir,$86.51
179,Sale #SW-341-2021-GF7120-07,,,$0.00 (total price)
180,Sale #20-918,1185,Douglas-fir,$264.11
181,Sale #20-771,985,Douglas-fir,$334.98
182,Sale #20-771,,Thinning Sale not CC,$0.00 (total price)
183,Sale #19-403,943,Douglas-fir,$297.75
184,Sale #18-92,1308,Douglas-fir,$476.11
185,Sale #18-93,245,Douglas-fir,$387.69
186,Sale #18-93,200,Grand Fir,$219.02
187,Sale #WL-343-2022-W00921-01,240,Douglas-fir,$535.72
188,Sale #WL-341-2021-W00676-01,2290,Douglas-fir,$310.06
189,Sale #SW-341-2021-GF9419-01,528,Douglas FIr,$310.74
190,Sale #WL-341-2021-W00581-01,2154,Douglas-Fir,$408.33
191,Sale #WL-341-2021-W00621-01,1801,Douglas-fir,$378.71
192,Sale #WL-341-2021-W00782-02,6076,Douglas-fir,$431.92
193,Sale #20-576,870,Douglas-Fir,$356.25
194,Sale #20-901,574,Douglas-fir,$297.45
195,Sale #20-336,2104,Doug-fir,$411.19
196,Sale #20-891,4143,Douglas-fir,$286.04
197,Sale #20-339,447,Douglas-fir,$323.60
198,Sale #20-791,manual,manual,manual
199,Sale #20-337,12913,Douglas-fir,$40.60
200,Sale #20-783,3976,Douglas-fir,$347.66
201,Sale #20-525,2023,Douglas-fir,$140.40
202,Sale #20-577,4437,Douglas-fir,$368.01
203,Sale #19-789,1950,Douglas-fir,$195.55
204,Sale #19-771,645,Douglas-fir,$388.66
205,Sale #19-768,1435,Douglas-fir,$344.11
206,Sale #19-580,4308,Douglas-fir,$411.62
207,Sale #19-579,3724,Douglas-fir,$403.42
208,Sale #19-781,4758,Douglas-fir,$428.37
209,Sale #18-133,755,Douglas-fir,$455.02
210,Sale #18-108,4263,Douglas-fir,$525.57
211,Sale #CS-341-2022-GF8418-01,,Douglas fir,$219.79
212,Sale #19-741,manual,manual,manual
213,Sale #KL-343-2022-W00938-01,695,Ponderosa pine,$48.10
214,Sale #KL-341-2021-GF9818-01,613,Lump Sum,"$37,683.08 (total price)"
215,Sale #KL-341-2021-GF7720-01,1323,Ponderosa pine,$132.08
216,Sale #KL-341-2021-W00664-01,2579,Ponderosa pine,$141.67
217,Sale #KL-341-2021-W00675-01,586,Ponderosa pine,$137.17
218,Sale #KL-341-2021-GF8417-01,manual,manual,manual
219,Sale #KL-341-2021-GF7620-01,405,Ponderosa pine,$130.75
220,Sale #KL-341-2021-GF9919-01,135,Douglas-fir,$143.12
221,Sale #KL-341-2021-W00281-01,3608,Ponderosa Pine,$140.09
222,Sale #KL-341-2021-GF8319-01,137,Western larch Douglas-fir,$91.34
223,Sale #20-971,683,Douglas-fir,$83.71
224,Sale #KL-341-2020-W00774-01,,,$0.00 (total price)
225,Sale #20-831,4646,White fir,$178.88
226,Sale #20-827,2914,Ponderosa pine,$55.62
227,Sale #20-501,720,Douglas-fir,$181.23
228,Sale #20-811,1909,Douglas-fir,$243.67
229,Sale #20-871,,,$0.00 (total price)
230,Sale #20-324,1531,Pulp,$10.00
231,Sale #20-321,678,Pulp,$10.00
232,Sale #20-323,715,PULP,$10.00
233,Sale #20-821,1757,Ponderosa pine,$62.77
234,Sale #20-769,1973,White Fir,$210.89
235,Sale #19-801,908,White Fir,$184.08
236,Sale #19-513,1180,White Fir,$190.21
237,Sale #19-770,410,Pulp,$10.00
238,Sale #19-772,488,Pulp,$10.00
239,Sale #19-773,558,Pulp,$10.00
240,Sale #19-511,3860,PP,$142.06
241,Sale #19-21,1622,White fir,$336.44
242,Sale #18-138,2214,Ponderosa pine,$128.96
243,Sale #18-99,,,$0.00 (total price)
244,Sale #18-98,,,$0.00 (total price)
245,Sale #18-97,365,pulp,$10.00
246,Sale #18-96,593,Pulp,$10.00
247,Sale #SW-341-2021-GF7818-07,2435,Hemlock Fir,$86.51
248,Sale #SW-341-2021-GF7120-07,,,$0.00 (total price)
249,Sale #20-918,1185,Douglas-fir,$264.11
250,Sale #20-771,985,Douglas-fir,$334.98
251,Sale #20-771,,Thinning Sale not CC,$0.00 (total price)
252,Sale #19-403,943,Douglas-fir,$297.75
253,Sale #18-92,1308,Douglas-fir,$476.11
254,Sale #18-93,245,Douglas-fir,$387.69
255,Sale #18-93,200,Grand Fir,$219.02
256,Sale #WL-343-2022-W00921-01,240,Douglas-fir,$535.72
257,Sale #WL-341-2021-W00676-01,2290,Douglas-fir,$310.06
258,Sale #SW-341-2021-GF9419-01,528,Douglas FIr,$310.74
259,Sale #WL-341-2021-W00581-01,2154,Douglas-Fir,$408.33
260,Sale #WL-341-2021-W00621-01,1801,Douglas-fir,$378.71
261,Sale #WL-341-2021-W00782-02,6076,Douglas-fir,$431.92
262,Sale #20-576,870,Douglas-Fir,$356.25
263,Sale #20-901,574,Douglas-fir,$297.45
264,Sale #20-336,2104,Doug-fir,$411.19
265,Sale #20-891,4143,Douglas-fir,$286.04
266,Sale #20-339,447,Douglas-fir,$323.60
267,Sale #20-791,manual,manual,manual
268,Sale #20-337,12913,Douglas-fir,$40.60
269,Sale #20-783,3976,Douglas-fir,$347.66
270,Sale #20-525,2023,Douglas-fir,$140.40
271,Sale #20-577,4437,Douglas-fir,$368.01
272,Sale #19-789,1950,Douglas-fir,$195.55
273,Sale #19-771,645,Douglas-fir,$388.66
274,Sale #19-768,1435,Douglas-fir,$344.11
275,Sale #19-580,4308,Douglas-fir,$411.62
276,Sale #19-579,3724,Douglas-fir,$403.42
277,Sale #19-781,4758,Douglas-fir,$428.37
278,Sale #18-133,755,Douglas-fir,$455.02
279,Sale #18-108,4263,Douglas-fir,$525.57
280,Sale #CS-341-2022-GF8418-01,,Douglas fir,$219.79
281,Sale #19-741,manual,manual,manual
282,Sale #WO-341-2022-W00678-01,2543,Douglas-fir,$319.98
283,Sale #WO-341-2022-W00683-01,3303,Douglas-fir,$518.64
284,Sale #WO-343-2021-W00917-01,manual,manual,manual
285,Sale #WO-341-2021-W00689-01,1755,Douglas-fir,$430.71
286,Sale #WO-341-2021-W00685-01,2509,Douglas-fir,$548.04
287,Sale #WO-341-2021-W00697-01,1400,Douglas-fir,$528.00
288,Sale #WO-341-2021-W00362-01,,Douglas-fir,$200.27
289,Sale #WO-341-2021-W00360-01,1021,Douglas-fir,$201.21
290,Sale #WO-341-2021-W00371-01,3087,Douglas-fir,$420.78
291,Sale #20-359,1388,Douglas-fir,$182.72
292,Sale #20-378,2977,Douglas-fir,$445.54
293,Sale #20-777,1436,Douglas-fir,$394.65
294,Sale #20-376,736,Douglas-fir,$329.35
295,Sale #20-343,2551,Douglas-fir,$442.27
296,Sale #20-789,1939,Douglas-fir,$384.45
297,Sale #20-787,2779,Douglas-fir,$458.25
298,Sale #19-775,1047,Douglas-fir,$227.84
299,Sale #19-776,1670,Douglas-fir,$385.25
300,Sale #19-790,1301,Douglas-fir,$223.26
301,Sale #19-19,1932,Douglas-fir,$170.56
302,Sale #19-227,1698,Douglas-fir,$338.60
303,Sale #18-110,1822,Douglas-fir,$565.69
304,Sale #18-109,1732,Douglas-fir,$352.57
305,Sale #18-95,1340,Douglas fir,$575.31
306,Sale #18-82,1964,Douglas-fir,$398.17
307,Sale #KL-343-2022-W00938-01,695,Ponderosa pine,$48.10
308,Sale #KL-341-2021-GF9818-01,613,Lump Sum,"$37,683.08 (total price)"
309,Sale #KL-341-2021-GF7720-01,1323,Ponderosa pine,$132.08
310,Sale #KL-341-2021-W00664-01,2579,Ponderosa pine,$141.67
311,Sale #KL-341-2021-W00675-01,586,Ponderosa pine,$137.17
312,Sale #KL-341-2021-GF8417-01,manual,manual,manual
313,Sale #KL-341-2021-GF7620-01,405,Ponderosa pine,$130.75
314,Sale #KL-341-2021-GF9919-01,135,Douglas-fir,$143.12
315,Sale #KL-341-2021-W00281-01,3608,Ponderosa Pine,$140.09
316,Sale #KL-341-2021-GF8319-01,137,Western larch Douglas-fir,$91.34
317,Sale #20-971,683,Douglas-fir,$83.71
318,Sale #KL-341-2020-W00774-01,,,$0.00 (total price)
319,Sale #20-831,4646,White fir,$178.88
320,Sale #20-827,2914,Ponderosa pine,$55.62
321,Sale #20-501,720,Douglas-fir,$181.23
322,Sale #20-811,1909,Douglas-fir,$243.67
323,Sale #20-871,,,$0.00 (total price)
324,Sale #20-324,1531,Pulp,$10.00
325,Sale #20-321,678,Pulp,$10.00
326,Sale #20-323,715,PULP,$10.00
327,Sale #20-821,1757,Ponderosa pine,$62.77
328,Sale #20-769,1973,White Fir,$210.89
329,Sale #19-801,908,White Fir,$184.08
330,Sale #19-513,1180,White Fir,$190.21
331,Sale #19-770,410,Pulp,$10.00
332,Sale #19-772,488,Pulp,$10.00
333,Sale #19-773,558,Pulp,$10.00
334,Sale #19-511,3860,PP,$142.06
335,Sale #19-21,1622,White fir,$336.44
336,Sale #18-138,2214,Ponderosa pine,$128.96
337,Sale #18-99,,,$0.00 (total price)
338,Sale #18-98,,,$0.00 (total price)
339,Sale #18-97,365,pulp,$10.00
340,Sale #18-96,593,Pulp,$10.00
341,Sale #SW-341-2021-GF7818-07,2435,Hemlock Fir,$86.51
342,Sale #SW-341-2021-GF7120-07,,,$0.00 (total price)
343,Sale #20-918,1185,Douglas-fir,$264.11
344,Sale #20-771,985,Douglas-fir,$334.98
345,Sale #20-771,,Thinning Sale not CC,$0.00 (total price)
346,Sale #19-403,943,Douglas-fir,$297.75
347,Sale #18-92,1308,Douglas-fir,$476.11
348,Sale #18-93,245,Douglas-fir,$387.69
349,Sale #18-93,200,Grand Fir,$219.02
350,Sale #WL-343-2022-W00921-01,240,Douglas-fir,$535.72
351,Sale #WL-341-2021-W00676-01,2290,Douglas-fir,$310.06
352,Sale #SW-341-2021-GF9419-01,528,Douglas FIr,$310.74
353,Sale #WL-341-2021-W00581-01,2154,Douglas-Fir,$408.33
354,Sale #WL-341-2021-W00621-01,1801,Douglas-fir,$378.71
355,Sale #WL-341-2021-W00782-02,6076,Douglas-fir,$431.92
356,Sale #20-576,870,Douglas-Fir,$356.25
357,Sale #20-901,574,Douglas-fir,$297.45
358,Sale #20-336,2104,Doug-fir,$411.19
359,Sale #20-891,4143,Douglas-fir,$286.04
360,Sale #20-339,447,Douglas-fir,$323.60
361,Sale #20-791,manual,manual,manual
362,Sale #20-337,12913,Douglas-fir,$40.60
363,Sale #20-783,3976,Douglas-fir,$347.66
364,Sale #20-525,2023,Douglas-fir,$140.40
365,Sale #20-577,4437,Douglas-fir,$368.01
366,Sale #19-789,1950,Douglas-fir,$195.55
367,Sale #19-771,645,Douglas-fir,$388.66
368,Sale #19-768,1435,Douglas-fir,$344.11
369,Sale #19-580,4308,Douglas-fir,$411.62
370,Sale #19-579,3724,Douglas-fir,$403.42
371,Sale #19-781,4758,Douglas-fir,$428.37
372,Sale #18-133,755,Douglas-fir,$455.02
373,Sale #18-108,4263,Douglas-fir,$525.57
374,Sale #CS-341-2022-GF8418-01,,Douglas fir,$219.79
375,Sale #19-741,manual,manual,manual
376,Sale #WO-341-2022-W00678-01,2543,Douglas-fir,$319.98
377,Sale #WO-341-2022-W00683-01,3303,Douglas-fir,$518.64
378,Sale #WO-343-2021-W00917-01,manual,manual,manual
379,Sale #WO-341-2021-W00689-01,1755,Douglas-fir,$430.71
380,Sale #WO-341-2021-W00685-01,2509,Douglas-fir,$548.04
381,Sale #WO-341-2021-W00697-01,1400,Douglas-fir,$528.00
382,Sale #WO-341-2021-W00362-01,,Douglas-fir,$200.27
383,Sale #WO-341-2021-W00360-01,1021,Douglas-fir,$201.21
384,Sale #WO-341-2021-W00371-01,3087,Douglas-fir,$420.78
385,Sale #20-359,1388,Douglas-fir,$182.72
386,Sale #20-378,2977,Douglas-fir,$445.54
387,Sale #20-777,1436,Douglas-fir,$394.65
388,Sale #20-376,736,Douglas-fir,$329.35
389,Sale #20-343,2551,Douglas-fir,$442.27
390,Sale #20-789,1939,Douglas-fir,$384.45
391,Sale #20-787,2779,Douglas-fir,$458.25
392,Sale #19-775,1047,Douglas-fir,$227.84
393,Sale #19-776,1670,Douglas-fir,$385.25
394,Sale #19-790,1301,Douglas-fir,$223.26
395,Sale #19-19,1932,Douglas-fir,$170.56
396,Sale #19-227,1698,Douglas-fir,$338.60
397,Sale #18-110,1822,Douglas-fir,$565.69
398,Sale #18-109,1732,Douglas-fir,$352.57
399,Sale #18-95,1340,Douglas fir,$575.31
400,Sale #18-82,1964,Douglas-fir,$398.17
401,Sale #NC-341-2022-W00896-01,5262,Douglas-fir,$100.81
402,Sale #NC-341-2021-W00914-01,1628,"Douglas-fir (5-8"")",$50.00
403,Sale #NC-341-2021-W00914-01,4373,"Douglas-fir (9-999"")",$371.26
404,Sale #NC-341-2021-W00895-01,219,"Douglas-fir (0-7"")",$145.36
405,Sale #NC-341-2021-W00895-01,547,"Douglas-fir (8-999"")",$203.76
406,Sale #NC-341-2021-W00912-01,1269,Douglas-fir,$240.34
407,Sale #NC-341-2021-W00908-01,3095,"Douglas-fir (0-8"")",$50.20
408,Sale #NC-341-2021-W00908-01,3614,"Douglas-fir (9-999"")",$358.25
409,Sale #NC-341-2021-W00911-01,1655,Douglas-fir,$163.35
410,Sale #NC-341-2021-W00911-01,65,Western hemlock,$0.00 (total price)
411,Sale #NC-341-2021-W00894-01,manual,manual,manual
412,Sale #NC-341-2021-W00907-01,354,Douglas-fir,$434.42
413,Sale #NC-341-2021-W00880-01,9890,Douglas-fir,$276.53
414,Sale #NC-341-2021-W00906-01,146,Douglas-fir,$450.63
415,Sale #NC-341-2021-W00704-01,596,Douglas-fir,$348.82
416,Sale #20-758,3983,Douglas-fir,$443.76
417,Sale #20-706,1692,Douglas-fir,$457.24
418,Sale #20-695,690,Douglas-fir,$259.86
419,Sale #20-709,643,Douglas-fir,$461.18
420,Sale #20-747,1774,Douglas-fir,$466.21
421,Sale #20-749,3631,Douglas-fir,$476.91
422,Sale #19-705,4835,Douglas-fir poles,$800.24
423,Sale #19-746,1318,Douglas-fir,$510.16
424,Sale #19-713,4412,Douglas-fir,$492.51
425,Sale #19-49,1754,DF,$580.82
426,Sale #19-48,2152,Douglas-fir,$713.73
427,Sale #19-42,3243,Douglas-fir,$641.82
428,Sale #18-107,5285,Douglas-fir,$717.74
429,Sale #18-106,3377,Douglas-fir,$683.49
430,Sale #18-105,4549,douglas-fir,$632.96
431,Sale #18-71,2069,Douglas-fir,$579.40
432,Sale #18-70,1794,Douglas-fir,$544.89
433,Sale #KL-343-2022-W00938-01,695,Ponderosa pine,$48.10
434,Sale #KL-341-2021-GF9818-01,613,Lump Sum,"$37,683.08 (total price)"
435,Sale #KL-341-2021-GF7720-01,1323,Ponderosa pine,$132.08
436,Sale #KL-341-2021-W00664-01,2579,Ponderosa pine,$141.67
437,Sale #KL-341-2021-W00675-01,586,Ponderosa pine,$137.17
438,Sale #KL-341-2021-GF8417-01,manual,manual,manual
439,Sale #KL-341-2021-GF7620-01,405,Ponderosa pine,$130.75
440,Sale #KL-341-2021-GF9919-01,135,Douglas-fir,$143.12
441,Sale #KL-341-2021-W00281-01,3608,Ponderosa Pine,$140.09
442,Sale #KL-341-2021-GF8319-01,137,Western larch Douglas-fir,$91.34
443,Sale #20-971,683,Douglas-fir,$83.71
444,Sale #KL-341-2020-W00774-01,,,$0.00 (total price)
445,Sale #20-831,4646,White fir,$178.88
446,Sale #20-827,2914,Ponderosa pine,$55.62
447,Sale #20-501,720,Douglas-fir,$181.23
448,Sale #20-811,1909,Douglas-fir,$243.67
449,Sale #20-871,,,$0.00 (total price)
450,Sale #20-324,1531,Pulp,$10.00
451,Sale #20-321,678,Pulp,$10.00
452,Sale #20-323,715,PULP,$10.00
453,Sale #20-821,1757,Ponderosa pine,$62.77
454,Sale #20-769,1973,White Fir,$210.89
455,Sale #19-801,908,White Fir,$184.08
456,Sale #19-513,1180,White Fir,$190.21
457,Sale #19-770,410,Pulp,$10.00
458,Sale #19-772,488,Pulp,$10.00
459,Sale #19-773,558,Pulp,$10.00
460,Sale #19-511,3860,PP,$142.06
461,Sale #19-21,1622,White fir,$336.44
462,Sale #18-138,2214,Ponderosa pine,$128.96
463,Sale #18-99,,,$0.00 (total price)
464,Sale #18-98,,,$0.00 (total price)
465,Sale #18-97,365,pulp,$10.00
466,Sale #18-96,593,Pulp,$10.00
467,Sale #SW-341-2021-GF7818-07,2435,Hemlock Fir,$86.51
468,Sale #SW-341-2021-GF7120-07,,,$0.00 (total price)
469,Sale #20-918,1185,Douglas-fir,$264.11
470,Sale #20-771,985,Douglas-fir,$334.98
471,Sale #20-771,,Thinning Sale not CC,$0.00 (total price)
472,Sale #19-403,943,Douglas-fir,$297.75
473,Sale #18-92,1308,Douglas-fir,$476.11
474,Sale #18-93,245,Douglas-fir,$387.69
475,Sale #18-93,200,Grand Fir,$219.02
476,Sale #WL-343-2022-W00921-01,240,Douglas-fir,$535.72
477,Sale #WL-341-2021-W00676-01,2290,Douglas-fir,$310.06
478,Sale #SW-341-2021-GF9419-01,528,Douglas FIr,$310.74
479,Sale #WL-341-2021-W00581-01,2154,Douglas-Fir,$408.33
480,Sale #WL-341-2021-W00621-01,1801,Douglas-fir,$378.71
481,Sale #WL-341-2021-W00782-02,6076,Douglas-fir,$431.92
482,Sale #20-576,870,Douglas-Fir,$356.25
483,Sale #20-901,574,Douglas-fir,$297.45
484,Sale #20-336,2104,Doug-fir,$411.19
485,Sale #20-891,4143,Douglas-fir,$286.04
486,Sale #20-339,447,Douglas-fir,$323.60
487,Sale #20-791,manual,manual,manual
488,Sale #20-337,12913,Douglas-fir,$40.60
489,Sale #20-783,3976,Douglas-fir,$347.66
490,Sale #20-525,2023,Douglas-fir,$140.40
491,Sale #20-577,4437,Douglas-fir,$368.01
492,Sale #19-789,1950,Douglas-fir,$195.55
493,Sale #19-771,645,Douglas-fir,$388.66
494,Sale #19-768,1435,Douglas-fir,$344.11
495,Sale #19-580,4308,Douglas-fir,$411.62
